date,close,mkt_ret,rf_daily,mkt_excess
2016-09-20,2139.76,0.00029919,6.7403e-06,0.00029245
2016-09-21,2163.12,0.01091711,4.7591e-06,0.01091235
2016-09-22,2177.18,0.00649987,3.9663e-06,0.0064959
2016-09-23,2164.69,-0.00573678,3.5698e-06,-0.00574035
2016-09-26,2146.1,-0.00858783,4.7591e-06,-0.00859259
2016-09-27,2159.93,0.00644425,6.3442e-06,0.0064379
2016-09-28,2171.37,0.00529647,5.5517e-06,0.00529092
2016-09-29,2151.13,-0.0093213,4.7591e-06,-0.00932606
2016-09-30,2168.27,0.00796791,7.9286e-06,0.00795998
2016-10-03,2161.2,-0.00326066,9.9083e-06,-0.00327057
2016-10-04,2150.49,-0.00495558,1.10956e-05,-0.00496668
2016-10-05,2159.73,0.0042967,1.03041e-05,0.00428639
2016-10-06,2160.77,0.00048154,1.03041e-05,0.00047124
2016-10-07,2153.74,-0.00325347,1.03041e-05,-0.00326377
2016-10-10,2163.66,0.00460594,,
2016-10-11,2136.73,-0.0124465,1.06999e-05,-0.0124572
2016-10-12,2139.18,0.00114661,1.03041e-05,0.00113631
2016-10-13,2132.55,-0.00309932,1.03041e-05,-0.00310962
2016-10-14,2132.98,0.00020164,1.03041e-05,0.00019133
2016-10-17,2126.5,-0.003038,9.5124e-06,-0.00304752
2016-10-18,2139.6,0.00616036,1.03041e-05,0.00615005
2016-10-19,2144.29,0.002192,9.9083e-06,0.00218209
2016-10-20,2141.34,-0.00137575,9.9083e-06,-0.00138566
2016-10-21,2141.16,-8.406e-05,9.9083e-06,-9.397e-05
2016-10-24,2151.33,0.00474976,9.1165e-06,0.00474065
2016-10-25,2143.16,-0.00379765,8.7206e-06,-0.00380637
2016-10-26,2139.43,-0.00174042,9.9083e-06,-0.00175033
2016-10-27,2133.04,-0.00298678,7.5326e-06,-0.00299431
2016-10-28,2126.41,-0.00310824,7.1365e-06,-0.00311538
2016-10-31,2126.15,-0.00012227,7.9286e-06,-0.0001302
2016-11-01,2111.72,-0.00678692,9.5124e-06,-0.00679643
2016-11-02,2097.94,-0.00652549,9.5124e-06,-0.006535
2016-11-03,2088.66,-0.00442339,9.5124e-06,-0.0044329
2016-11-04,2085.18,-0.00166614,9.9083e-06,-0.00167605
2016-11-07,2131.52,0.0222235,1.10956e-05,0.02221241
2016-11-08,2139.56,0.00377196,1.10956e-05,0.00376086
2016-11-09,2163.26,0.01107704,1.1887e-05,0.01106516
2016-11-10,2167.48,0.00195076,1.1887e-05,0.00193887
2016-11-11,2164.45,-0.00139794,,
2016-11-14,2164.2,-0.0001155,1.26782e-05,-0.00012818
2016-11-15,2180.39,0.00748082,1.1887e-05,0.00746894
2016-11-16,2176.94,-0.00158229,1.26782e-05,-0.00159496
2016-11-17,2187.12,0.00467629,1.1887e-05,0.0046644
2016-11-18,2181.9,-0.0023867,1.10956e-05,-0.0023978
2016-11-21,2198.18,0.00746139,1.10956e-05,0.00745029
2016-11-22,2202.94,0.00216543,1.34693e-05,0.00215196
2016-11-23,2204.72,0.00080801,1.38647e-05,0.00079415
