date,mkt_rf_pct
2025-09-19,0.38
2025-09-22,0.43
2025-09-23,-0.61
2025-09-24,-0.34
2025-09-25,-0.58
2025-09-26,0.60
2025-09-29,0.25
2025-09-30,0.29
2025-10-01,0.33
2025-10-02,0.10
2025-10-03,0.03
2025-10-06,0.39
2025-10-07,-0.51
2025-10-08,0.66
2025-10-09,-0.29
2025-10-10,-2.78
2025-10-13,1.64
2025-10-14,-0.06
2025-10-15,0.42
2025-10-16,-0.73
2025-10-17,0.38
2025-10-20,1.10
2025-10-21,-0.01
2025-10-22,-0.67
2025-10-23,0.66
2025-10-24,0.79
2025-10-27,1.18
2025-10-28,0.18
2025-10-29,-0.09
2025-10-30,-1.10
2025-10-31,0.40
2025-11-03,0.12
2025-11-04,-1.26
2025-11-05,0.42
2025-11-06,-1.21
2025-11-07,0.13
2025-11-10,1.51
2025-11-11,0.18
2025-11-12,0.03
2025-11-13,-1.79
2025-11-14,-0.05
2025-11-17,-1.03
2025-11-18,-0.76
2025-11-19,0.34
2025-11-20,-1.58
2025-11-21,1.03
2025-11-24,1.61
2025-11-25,1.04
2025-11-26,0.69
2025-11-28,0.54
2025-12-01,-0.53
2025-12-02,0.21
2025-12-03,0.44
2025-12-04,0.14
2025-12-05,0.18
2025-12-08,-0.37
2025-12-09,-0.07
2025-12-10,0.68
2025-12-11,0.22
2025-12-12,-1.11
2025-12-15,-0.26
2025-12-16,-0.25
2025-12-17,-1.16
2025-12-18,0.80
2025-12-19,0.90
2025-12-22,0.69
2025-12-23,0.32
2025-12-24,0.29
2025-12-26,-0.06
2025-12-29,-0.41
2025-12-30,-0.20
2025-12-31,-0.76
2026-01-02,0.25
2026-01-05,0.75
2026-01-06,0.63
2026-01-07,-0.31
2026-01-08,0.03
2026-01-09,0.67
2026-01-12,0.18
2026-01-13,-0.21
2026-01-14,-0.51
2026-01-15,0.26
2026-01-16,-0.12
2026-01-20,-2.05
2026-01-21,1.19
2026-01-22,0.60
2026-01-23,-0.13
2026-01-26,0.40
2026-01-27,0.34
2026-01-28,-0.10
2026-01-29,-0.26
2026-01-30,-0.55
2026-02-02,0.54
2026-02-03,-0.77
2026-02-04,-0.56
2026-02-05,-1.33
2026-02-06,2.09
2026-02-09,0.52
2026-02-10,-0.36
2026-02-11,-0.12
2026-02-12,-1.66
2026-02-13,0.15
2026-02-17,0.01
2026-02-18,0.60
2026-02-19,-0.24
2026-02-20,0.58
2026-02-23,-1.18
2026-02-24,0.82
2026-02-25,0.79
2026-02-26,-0.47
2026-02-27,-0.52
2026-03-02,0.13
2026-03-03,-0.98
2026-03-04,0.82
2026-03-05,-0.65
2026-03-06,-1.36
2026-03-09,0.83
2026-03-10,-0.25
2026-03-11,-0.07
2026-03-12,-1.61
2026-03-13,-0.60
2026-03-16,0.98
2026-03-17,0.28
2026-03-18,-1.40
2026-03-19,-0.26
2026-03-20,-1.57
2026-03-23,1.25
2026-03-24,-0.39
2026-03-25,0.63
2026-03-26,-1.73
2026-03-27,-1.74
2026-03-30,-0.44
2026-03-31,2.98
2026-04-01,0.69
2026-04-02,0.09
2026-04-06,0.43
2026-04-07,0.03
2026-04-08,2.47
2026-04-09,0.53
2026-04-10,-0.18
2026-04-13,1.09
2026-04-14,1.19
2026-04-15,0.82
2026-04-16,0.26
2026-04-17,1.27
2026-04-20,-0.15
2026-04-21,-0.64
2026-04-22,0.95
2026-04-23,-0.55
2026-04-24,0.70
2026-04-27,0.10
2026-04-28,-0.57
2026-04-29,-0.13
2026-04-30,1.13
2026-05-01,0.31
2026-05-04,-0.40
2026-05-05,0.83
2026-05-06,1.39
2026-05-07,-0.40
2026-05-08,0.76
2026-05-11,0.08
2026-05-12,-0.22
2026-05-13,0.60
2026-05-14,0.76
2026-05-15,-1.32
2026-05-18,-0.10
2026-05-19,-0.71
2026-05-20,1.17
2026-05-21,0.12
2026-05-22,0.44
2026-05-26,0.65
2026-05-27,0.02
2026-05-28,0.67
2026-05-29,0.19
2026-06-01,0.26
2026-06-02,0.17
2026-06-03,-0.85
2026-06-04,0.50
2026-06-05,-2.75
2026-06-08,0.36
2026-06-09,-0.28
2026-06-10,-1.61
2026-06-11,1.81
2026-06-12,0.44
2026-06-15,1.60
2026-06-16,-0.62
2026-06-17,-1.21
2026-06-18,1.11
2026-06-22,-0.45
2026-06-23,-1.31
2026-06-24,-0.07
2026-06-25,-0.13
2026-06-26,0.15
2026-06-29,1.20
2026-06-30,0.73
2026-07-01,-0.18
2026-07-02,-0.03
2026-07-06,0.76
2026-07-07,-0.51
2026-07-08,-0.38
2026-07-09,0.85
2026-07-10,0.28
2026-07-13,-0.77
2026-07-14,0.37
2026-07-15,0.42
2026-07-16,-0.51
2026-07-17,-1.03
2026-07-20,-0.30
2026-07-21,0.86
2026-07-22,-0.18
2026-07-23,-1.37
2026-07-24,0.00
2026-07-27,0.15
2026-07-28,0.27
2026-07-29,-1.52
2026-07-30,1.59
2026-07-31,0.68
